CustomerID,Lookalikes
C0001,"[('C0103', 0.9961), ('C0164', 0.9817), ('C0069', 0.9802)]"
C0002,"[('C0094', 0.9998), ('C0029', 0.9998), ('C0166', 0.9992)]"
C0003,"[('C0072', 0.99), ('C0190', 0.9713), ('C0111', 0.9711)]"
C0004,"[('C0017', 0.9978), ('C0075', 0.9939), ('C0113', 0.9939)]"
C0005,"[('C0177', 0.9999), ('C0198', 0.9997), ('C0058', 0.9995)]"
C0006,"[('C0079', 0.9347), ('C0117', 0.8583), ('C0168', 0.8493)]"
C0007,"[('C0061', 0.9994), ('C0092', 0.9984), ('C0078', 0.9951)]"
C0008,"[('C0179', 0.9969), ('C0084', 0.977), ('C0090', 0.9712)]"
C0009,"[('C0192', 0.9985), ('C0119', 0.9927), ('C0186', 0.9917)]"
C0010,"[('C0027', 0.9965), ('C0038', 0.9891), ('C0142', 0.9846)]"
C0011,"[('C0051', 0.9954), ('C0126', 0.988), ('C0100', 0.9865)]"
C0012,"[('C0028', 0.9996), ('C0068', 0.9988), ('C0065', 0.9983)]"
C0013,"[('C0141', 0.9999), ('C0188', 0.999), ('C0108', 0.9975)]"
C0014,"[('C0097', 0.9996), ('C0033', 0.9995), ('C0060', 0.9992)]"
C0015,"[('C0131', 1.0), ('C0128', 0.9998), ('C0058', 0.9991)]"
C0016,"[('C0154', 0.9964), ('C0107', 0.9956), ('C0118', 0.9696)]"
C0017,"[('C0004', 0.9978), ('C0113', 0.9974), ('C0075', 0.9955)]"
C0018,"[('C0182', 0.9786), ('C0039', 0.9714), ('C0169', 0.9673)]"
C0019,"[('C0076', 0.9754), ('C0172', 0.9143), ('C0191', 0.902)]"
C0020,"[('C0080', 0.9999), ('C0167', 0.9997), ('C0095', 0.999)]"
